date,actual_visits,forecast_visits,lower_ci,upper_ci,model_name
2017-06-01,,2471.679271453351,2004.6456857544931,3047.4660490644046,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-02,,2679.5255493695445,2074.003944714161,3461.748704226044,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-03,,2486.622042016667,1874.8452797939497,3297.919953892424,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-04,,2188.034016306763,1618.480432844869,2957.8933755318394,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-05,,1672.7973007132168,1217.6781737411131,2297.8820709527217,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-06,,1667.5898864781338,1196.5548130834545,2323.897515202996,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-07,,2360.9480471358365,1671.6058365330375,3334.393465403945,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-08,,2472.326763056277,1709.7153032346264,3574.8990787559696,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-09,,2683.2052656109113,1821.11222249469,3953.1790121296103,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-10,,2491.316934725538,1663.2443506384807,3731.4108690749827,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-11,,2192.6868539590737,1441.743555750647,3334.4936808080774,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-12,,1676.5395566898067,1086.5181085797965,2586.670901346233,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-13,,1671.4056574111896,1068.320514809596,2614.624262514947,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-14,,2366.405195601301,1492.6353050141454,3751.3265159475864,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-15,,2478.06828322231,1528.6389786273642,4016.797427203238,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-16,,2689.449893853774,1628.805400956462,4440.340436772274,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-17,,2497.120982803194,1487.505254142379,4191.533702756192,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-18,,2197.7978365248373,1289.0403926623299,3746.721353072236,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-19,,1680.4488297449695,971.0217095692866,2907.6491991043304,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-20,,1675.3033547747525,954.2888223339546,2940.5113749198235,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-21,,2371.9229084940216,1332.6150135515204,4221.180368726183,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-22,,2483.846372582958,1365.1519781521404,4518.600742876548,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-23,,2695.720722880854,1454.332596719083,4996.003896985328,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-24,,2502.9435633192943,1327.6207062160097,4717.979117934039,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-25,,2202.922770263308,1149.8773382898407,4219.498063245226,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-26,,1684.367935960653,865.6553422365488,3276.5025331684683,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-27,,1679.2104697315415,850.1943082822747,3315.642504685643,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-28,,2377.4537001037347,1186.495692527633,4762.842125183547,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-29,,2489.638035157647,1215.3828899437228,5098.773988485604,"Improved SARIMA (1,1,1)(0,1,1,7)"
2017-06-30,,2702.006220993909,1294.2813517424636,5639.6607112061965,"Improved SARIMA (1,1,1)(0,1,1,7)"
